id,id_grade,geocodigo,estado_sigla,nome
1,1,1100015,ro,Alta Floresta D'Oeste
2,2,1100023,ro,Ariquemes
3,3,1100031,ro,Cabixi
4,4,1100049,ro,Cacoal
5,5,1100056,ro,Cerejeiras
6,6,1100064,ro,Colorado do Oeste
7,7,1100072,ro,Corumbiara
8,8,1100080,ro,Costa Marques
9,9,1100098,ro,Espigão D'Oeste
10,10,1100106,ro,Guajará-Mirim
11,11,1100114,ro,Jaru
12,12,1100122,ro,Ji-Paraná
13,13,1100130,ro,Machadinho D'Oeste
14,14,1100148,ro,Nova Brasilândia D'Oeste
15,15,1100155,ro,Ouro Preto do Oeste
16,16,1100189,ro,Pimenta Bueno
17,17,1100205,ro,Porto Velho
18,18,1100254,ro,Presidente Médici
19,19,1100262,ro,Rio Crespo
20,20,1100288,ro,Rolim de Moura
21,21,1100296,ro,Santa Luzia D'Oeste
22,22,1100304,ro,Vilhena
23,23,1100320,ro,São Miguel do Guaporé
24,24,1100338,ro,Nova Mamoré
25,25,1100346,ro,Alvorada D'Oeste
26,26,1100379,ro,Alto Alegre dos Parecis
27,27,1100403,ro,Alto Paraíso
28,28,1100452,ro,Buritis
29,29,1100502,ro,Novo Horizonte do Oeste
30,30,1100601,ro,Cacaulândia 
31,31,1100700,ro,Campo Novo de Rondônia
32,32,1100809,ro,Candeias do Jamari
33,33,1100908,ro,Castanheiras
34,34,1100924,ro,Chupinguaia
35,35,1100940,ro,Cujubim
36,36,1101005,ro,Governador Jorge Teixeira
37,37,1101104,ro,Itapuã do Oeste
38,38,1101203,ro,Ministro Andreazza
39,39,1101302,ro,Mirante da Serra
40,40,1101401,ro,Monte Negro
41,41,1101435,ro,Nova União
42,42,1101450,ro,Parecis
43,43,1101468,ro,Pimenteiras do Oeste
44,44,1101476,ro,Primavera de Rondônia
45,45,1101484,ro,São Felipe D'Oeste
46,46,1101492,ro,São Francisco do Guaporé
47,47,1101500,ro,Seringueiras
48,48,1101559,ro,Teixeirópolis
49,49,1101609,ro,Theobroma
50,50,1101708,ro,Urupá
51,51,1101757,ro,Vale do Anari
52,52,1101807,ro,Vale do Paraíso
53,53,1200013,ac,Acrelândia
54,54,1200054,ac,Assis Brasil
55,55,1200104,ac,Brasiléia
56,56,1200138,ac,Bujari
57,57,1200179,ac,Capixaba
58,58,1200203,ac,Cruzeiro do Sul
59,59,1200252,ac,Epitaciolândia
60,60,1200302,ac,Feijó
61,61,1200328,ac,Jordão
62,62,1200336,ac,Mâncio Lima
63,63,1200344,ac,Manoel Urbano
64,64,1200351,ac,Marechal Thaumaturgo
65,65,1200385,ac,Plácido de Castro
66,66,1200393,ac,Porto Walter
67,67,1200401,ac,Rio Branco
68,68,1200427,ac,Rodrigues Alves
69,69,1200435,ac,Santa Rosa do Purus
70,70,1200450,ac,Senador Guiomard
71,71,1200500,ac,Sena Madureira
72,72,1200609,ac,Tarauacá
73,73,1200708,ac,Xapuri
74,74,1200807,ac,Porto Acre
75,75,1300029,am,Alvarães
76,76,1300060,am,Amaturá
77,77,1300086,am,Anamã
78,78,1300102,am,Anori
79,79,1300144,am,Apuí
80,80,1300201,am,Atalaia do Norte
81,81,1300300,am,Autazes
82,82,1300409,am,Barcelos
83,83,1300508,am,Barreirinha
84,84,1300607,am,Benjamin Constant
85,85,1300631,am,Beruri
86,86,1300680,am,Boa Vista do Ramos
87,87,1300706,am,Boca do Acre
88,88,1300805,am,Borba
89,89,1300839,am,Caapiranga
90,90,1300904,am,Canutama
91,91,1301001,am,Carauari
92,92,1301100,am,Careiro
93,93,1301159,am,Careiro da Várzea
94,94,1301209,am,Coari
95,95,1301308,am,Codajás
96,96,1301407,am,Eirunepé
97,97,1301506,am,Envira
98,98,1301605,am,Fonte Boa
99,99,1301654,am,Guajará
100,100,1301704,am,Humaitá
101,101,1301803,am,Ipixuna
102,102,1301852,am,Iranduba
103,103,1301902,am,Itacoatiara
104,104,1301951,am,Itamarati
105,105,1302009,am,Itapiranga
106,106,1302108,am,Japurá
107,107,1302207,am,Juruá
108,108,1302306,am,Jutaí
109,109,1302405,am,Lábrea
110,110,1302504,am,Manacapuru
111,111,1302553,am,Manaquiri
112,112,1302603,am,Manaus
113,113,1302702,am,Manicoré
114,114,1302801,am,Maraã
115,115,1302900,am,Maués
116,116,1303007,am,Nhamundá
117,117,1303106,am,Nova Olinda do Norte
118,118,1303205,am,Novo Airão
119,119,1303304,am,Novo Aripuanã
120,120,1303403,am,Parintins
121,121,1303502,am,Pauini
122,122,1303536,am,Presidente Figueiredo
123,123,1303569,am,Rio Preto da Eva
124,124,1303601,am,Santa Isabel do Rio Negro
125,125,1303700,am,Santo Antônio do Içá
126,126,1303809,am,São Gabriel da Cachoeira
127,127,1303908,am,São Paulo de Olivença
128,128,1303957,am,São Sebastião do Uatumã
129,129,1304005,am,Silves
130,130,1304062,am,Tabatinga
131,131,1304104,am,Tapauá
132,132,1304203,am,Tefé
133,133,1304237,am,Tonantins
134,134,1304260,am,Uarini
135,135,1304302,am,Urucará
136,136,1304401,am,Urucurituba
137,137,1400027,rr,Amajari
138,138,1400050,rr,Alto Alegre
139,139,1400100,rr,Boa Vista
140,140,1400159,rr,Bonfim
141,141,1400175,rr,Cantá
142,142,1400209,rr,Caracaraí
143,143,1400233,rr,Caroebe
144,144,1400282,rr,Iracema
145,145,1400308,rr,Mucajaí
146,146,1400407,rr,Normandia
147,147,1400456,rr,Pacaraima
148,148,1400472,rr,Rorainópolis
149,149,1400506,rr,São João da Baliza
150,150,1400605,rr,São Luiz
151,151,1400704,rr,Uiramutã
152,152,1500107,pa,Abaetetuba
153,153,1500131,pa,Abel Figueiredo
154,154,1500206,pa,Acará
155,155,1500305,pa,Afuá
156,156,1500347,pa,Água Azul do Norte
157,157,1500404,pa,Alenquer
158,158,1500503,pa,Almeirim
159,159,1500602,pa,Altamira
160,160,1500701,pa,Anajás
161,161,1500800,pa,Ananindeua
162,162,1500859,pa,Anapu
163,163,1500909,pa,Augusto Corrêa
164,164,1500958,pa,Aurora do Pará
165,165,1501006,pa,Aveiro
166,166,1501105,pa,Bagre
